Label,Score
0,4.349257e-15
0,2.8801385e-30
0,2.2168592e-06
0,3.0693842e-19
0,1.6299611e-22
0,9.6213065e-24
0,2.1012684e-17
0,2.5266592e-17
0,2.4538896e-23
0,1.3799842e-13
0,1.9928678e-16
0,2.5266592e-17
0,2.0225419e-19
0,2.778169e-10
0,1.4539141e-06
0,5.1040594e-21
0,3.366896e-26
0,6.990243e-11
0,1.8981526e-14
0,8.86966e-22
0,3.3929304e-17
0,6.677789e-18
0,2.5266592e-17
0,2.4210671e-23
0,6.0244486e-15
0,8.86966e-22
0,3.745883e-12
0,6.398492e-18
0,1.2437807e-21
0,1.7422579e-18
0,2.6340608e-19
0,7.7577315e-24
0,5.180638e-22
0,1.4556987e-12
0,9.827414e-14
0,4.6618383e-22
0,1.0132222e-12
0,2.9256044e-16
0,3.351821e-10
0,3.731134e-21
0,0.00010157849
0,2.8557068e-24
0,2.5266592e-17
0,1.4051818e-10
0,8.666293e-26
0,1.2163952e-16
0,3.3950743e-20
0,1.850087e-11
0,3.2657452e-13
0,1.4000518e-16
0,7.53972e-27
0,2.2168592e-06
0,1.1438278e-15
0,4.3962585e-17
0,1.9910122e-10
0,9.248889e-06
0,2.9092066e-06
0,1.0192495e-21
0,2.2908461e-17
0,2.9256044e-16
0,1.5927133e-22
0,2.2168592e-06
0,2.4210671e-23
0,6.292254e-06
0,1.4353367e-17
0,7.3360415e-12
0,4.549985e-10
0,1.1864804e-20
0,9.937088e-19
0,0.0018331286
0,2.2908461e-17
0,1.9928678e-16
0,2.5928688e-18
0,1.9928678e-16
0,9.413643e-24
0,3.603386e-18
0,8.5820465e-17
0,2.0955259e-20
0,6.992639e-16
0,6.677789e-18
0,5.4608434e-26
0,4.8192024e-16
0,2.4452423e-11
0,6.6074013e-09
0,8.2331337e-13
0,6.087347e-32
0,1.3356368e-14
0,1.4984605e-22
0,5.614952e-23
0,1.9928678e-16
0,2.5266592e-17
0,1.9928678e-16
0,1.6834683e-20
0,3.6854556e-14
0,1.845402e-16
0,4.4190736e-25
0,2.222866e-23
0,5.414585e-19
0,5.2621838e-21
0,5.977619e-20
0,0.12357146
0,1.9350434e-22
0,1.2706892e-22
0,1.1568283e-25
0,6.677789e-18
0,5.1561576e-12
0,4.724741e-11
0,7.8674676e-23
0,8.40523e-20
0,2.9256044e-16
0,2.5266592e-17
0,4.2369465e-17
0,6.0380706e-22
0,8.625723e-19
0,4.097978e-19
0,6.2416075e-15
0,1.7515045e-21
0,2.44988e-13
0,1.172653e-20
0,3.2901276e-21
0,1.6960028e-23
0,1.0503039e-23
0,6.677789e-18
0,2.4210671e-23
0,3.6661095e-12
0,1.06450204e-16
0,2.5266592e-17
0,9.562382e-12
0,7.4018377e-22
0,1.2419383e-18
0,1.09077e-22
0,1.06351645e-05
0,9.098523e-20
0,2.5266592e-17
0,1.4455577e-24
0,3.068585e-21
0,3.0022932e-23
0,8.5820465e-17
0,7.57644e-15
0,1.8071575e-22
0,8.385114e-21
0,7.8674676e-23
0,2.2908461e-17
0,7.04656e-11
0,5.10783e-24
0,1.7515045e-21
0,1.3317752e-18
0,1.4948192e-13
0,1.6156158e-17
0,0.00022919924
0,2.3163524e-20
0,3.8133616e-10
0,4.6618383e-22
0,8.371071e-24
0,5.4851804e-21
0,1.0192495e-21
0,2.2964015e-25
0,2.018294e-09
0,1.3751843e-16
0,2.2168592e-06
0,1.699152e-21
0,2.9256044e-16
0,0.07476374
0,1.5863042e-22
0,1.0439487e-12
0,1.7258376e-28
0,8.86966e-22
0,4.13529e-19
0,6.8104136e-08
0,0.0007725411
0,2.1019607e-22
0,5.1098518e-11
0,9.680515e-22
0,9.092257e-17
0,7.97654e-13
0,5.1932645e-21
0,2.5266592e-17
0,2.8557068e-24
0,1.468127e-15
0,2.0715252e-18
0,1.9350434e-22
0,3.140756e-13
0,8.5820465e-17
0,2.726167e-20
0,2.0715658e-17
0,1.8301284e-21
0,5.9206453e-09
0,2.726167e-20
0,9.783147e-25
0,3.3041636e-10
0,2.5266592e-17
0,1.1194608e-21
0,1.518103e-06
0,4.6776686e-17
0,1.7898281e-10
0,2.5266592e-17
0,3.5452157e-21
0,6.115273e-18
0,2.726167e-20
0,6.677789e-18
0,1.1438278e-15
0,9.6213065e-24
0,2.5266592e-17
0,2.5266592e-17
0,8.100779e-24
0,2.5266592e-17
0,1.2178644e-13
0,5.6799475e-23
0,2.5266592e-17
0,6.960242e-11
0,0.0001988899
0,8.701644e-25
0,2.0731782e-06
0,1.8881118e-13
0,6.002938e-20
0,6.677789e-18
0,1.9928678e-16
0,1.8264825e-19
0,3.8511445e-21
0,1.1438278e-15
0,1.9928678e-16
0,1.2419383e-18
0,9.413643e-24
0,9.63833e-21
0,2.4533538e-17
0,3.2082152e-14
0,1.1194608e-21
0,2.5266592e-17
0,1.315248e-22
0,0.05658838
0,0.10198392
0,8.701644e-25
0,1.9497932e-25
0,1.7583386e-07
0,1.9350434e-22
0,2.0484089e-16
0,4.6618383e-22
0,0.13544351
0,2.0995979e-21
0,8.098525e-16
0,4.1489736e-19
0,2.5266592e-17
0,7.2916564e-26
0,2.2168592e-06
0,7.107441e-10
0,6.677789e-18
0,2.0103975e-25
0,2.4210671e-23
0,8.857941e-19
0,6.7251484e-21
0,6.896805e-20
0,8.6476786e-16
0,0.0034560978
0,1.2951517e-17
0,3.5861813e-08
0,3.83926e-15
0,6.2194752e-24
0,1.9910122e-10
0,4.9068936e-11
0,1.5295079e-22
0,4.855121e-19
0,5.155604e-28
0,7.9807885e-31
0,3.6625337e-18
0,3.2601738e-25
0,1.5899444e-23
0,2.804496e-10
0,5.023613e-18
0,2.6575069e-07
0,5.3879645e-19
0,1.9928678e-16
0,2.9665798e-06
0,1.2613009e-22
0,1.3101253e-22
0,1.2380108e-13
0,1.8441019e-14
0,4.8126936e-18
0,2.6826642e-08
