Label,Score
0,8.490918e-13
0,1.931318e-16
0,9.0536514e-07
0,1.8913347e-16
0,6.7988685e-14
0,3.337897e-08
0,1.5375496e-17
0,3.185449e-13
0,2.1681956e-15
0,7.0984813e-15
0,2.4835005e-09
0,5.5008404e-11
0,5.1469106e-06
0,2.8718738e-10
0,9.164519e-23
0,1.1271834e-06
0,1.6754374e-24
0,2.2334894e-09
0,1.6309247e-15
0,2.1280922e-08
0,1.9797925e-13
0,5.6668476e-14
0,3.053879e-16
0,0.0021407807
0,1.0346902e-25
0,6.280853e-14
0,2.814793e-12
0,2.8660843e-10
0,3.062846e-19
0,1.12954105e-14
0,9.6927195e-20
0,1.3138893e-14
0,9.497135e-18
0,8.6080165e-09
0,1.3059729e-05
0,1.432185e-19
0,3.0967645e-11
0,1.14052966e-07
0,1.2990798e-18
0,1.3066149e-17
0,2.1285468e-08
0,5.6915283e-16
0,2.672149e-16
0,2.1745387e-24
0,1.7166631e-15
0,7.820377e-10
0,1.4186486e-15
0,1.1085096e-14
0,1.2930435e-10
0,2.63121e-18
0,1.4428331e-13
0,2.7835982e-19
0,1.0840291e-15
0,1.3527589e-09
0,3.1902995e-14
0,2.958568e-15
0,7.494166e-17
0,3.789988e-12
0,2.185992e-12
0,7.7761034e-16
0,7.33856e-12
0,5.4601215e-16
0,3.8121152e-07
0,1.196277e-08
0,6.609414e-14
1,3.200732e-07
0,5.316864e-14
0,3.95293e-10
0,6.443697e-14
0,1.034636e-23
0,3.1282315e-24
0,3.6510374e-19
0,4.7809426e-12
0,3.9559545e-10
0,2.654294e-12
0,1.2161759e-18
0,7.966053e-12
0,3.2556144e-24
0,3.544263e-17
0,1.1612301e-13
0,2.5268522e-13
0,2.7951586e-12
0,2.9298124e-25
0,1.3414215e-11
0,1.6634551e-13
0,1.2752067e-12
0,7.14246e-14
0,4.422073e-11
0,1.2780418e-11
0,9.587101e-10
0,1.4525169e-09
0,5.1543717e-18
0,8.402488e-09
0,6.708902e-14
